frameId,swimmerId,swimmerName,lane,cumul,eventId,eventX,eventY,event,TempsVideo (s),Temps (s),distance (m),tempo (s),frequence (cylce/min),amplitude (m),vitesse (m/s)
0,3,ligne4,ligne4,0.00,0,0.0000,,reaction,0.1,0,0.00
35,3,ligne4,ligne4,10.01,1,39.9941,6,cycle,0.7999999999999999,0.7,10.01,,,,
76,3,ligne4,ligne4,19.99,2,30.0118,6,cycle,1.62,1.52,19.99,1.64,36.59,19.96,12.17
116,3,ligne4,ligne4,30.15,3,19.8500,6,cycle,2.42,2.32,30.15,1.60,37.50,20.32,12.70
155,3,ligne4,ligne4,39.94,4,10.0567,6,cycle,3.2,3.1,39.94,1.56,38.46,19.58,12.55
195,3,ligne4,ligne4,50.00,5,50.0000,,turn,4,3.9,50.00
234,3,ligne4,ligne4,59.99,6,9.9868,6,cycle,4.779999999999999,4.68,59.99
273,3,ligne4,ligne4,70.00,7,20.0033,6,cycle,5.56,5.46,70.00,1.56,38.46,20.02,12.83
313,3,ligne4,ligne4,80.01,8,30.0073,6,cycle,6.359999999999999,6.26,80.01,1.60,37.50,20.02,12.51
354,3,ligne4,ligne4,90.00,9,39.9992,6,cycle,7.18,7.08,90.00,1.64,36.59,19.98,12.18
393,3,ligne4,ligne4,100.00,10,49.9999,6,cycle,7.96,7.86,100.00,1.56,38.46,20.00,12.82
400,3,ligne4,ligne4,100.00,11,0.0000,,finish,8.1,8,100.00
