frameId,swimmerId,swimmerName,lane,cumul,eventId,eventX,eventY,event,TempsVideo (s),Temps (s),distance (m),tempo (s),frequence (cylce/min),amplitude (m),vitesse (m/s)
0,0,Camille Martin,ligne1,0.00,0,50.00,1.25,reaction,0.00,0.00,0.00,,,,
0,1,Lea Dubois,ligne2,0.00,0,50.00,3.75,reaction,0.00,0.00,0.00,,,,
0,2,Manon Bernard,ligne3,0.00,0,50.00,6.25,reaction,0.00,0.00,0.00,,,,
0,3,Ines Moreau,ligne4,0.00,0,50.00,8.75,reaction,0.00,0.00,0.00,,,,
0,4,Chloe Laurent,ligne5,0.00,0,50.00,11.25,reaction,0.00,0.00,0.00,,,,
0,5,Sarah Petit,ligne6,0.00,0,50.00,13.75,reaction,0.00,0.00,0.00,,,,
0,6,Emma Garnier,ligne7,0.00,0,50.00,16.25,reaction,0.00,0.00,0.00,,,,
0,7,Julie Rousseau,ligne8,0.00,0,50.00,18.75,reaction,0.00,0.00,0.00,,,,
59,3,Ines Moreau,ligne4,2.40,1,47.60,8.75,cycle,1.17,1.17,2.40,2.34,25.60,4.80,2.05
61,1,Lea Dubois,ligne2,2.40,1,47.60,3.75,cycle,1.23,1.23,2.40,2.45,24.49,4.80,1.96
61,2,Manon Bernard,ligne3,2.40,1,47.60,6.25,cycle,1.22,1.22,2.40,2.45,24.50,4.80,1.96
61,6,Emma Garnier,ligne7,2.40,1,47.60,16.25,cycle,1.22,1.22,2.40,2.45,24.52,4.80,1.96
62,0,Camille Martin,ligne1,2.40,1,47.60,1.25,cycle,1.24,1.24,2.40,2.48,24.19,4.80,1.94
62,4,Chloe Laurent,ligne5,2.40,1,47.60,11.25,cycle,1.23,1.23,2.40,2.46,24.36,4.80,1.95
63,7,Julie Rousseau,ligne8,2.40,1,47.60,18.75,cycle,1.27,1.27,2.40,2.54,23.67,4.80,1.89
64,5,Sarah Petit,ligne6,2.40,1,47.60,13.75,cycle,1.27,1.27,2.40,2.55,23.53,4.80,1.88
119,3,Ines Moreau,ligne4,4.80,2,45.20,8.75,cycle,2.38,2.38,4.80,2.42,24.78,4.80,1.98
121,1,Lea Dubois,ligne2,4.80,2,45.20,3.75,cycle,2.43,2.43,4.80,2.41,24.92,4.80,1.99
121,7,Julie Rousseau,ligne8,4.80,2,45.20,18.75,cycle,2.43,2.43,4.80,2.32,25.82,4.80,2.07
122,2,Manon Bernard,ligne3,4.80,2,45.20,6.25,cycle,2.44,2.44,4.80,2.43,24.70,4.80,1.98
123,0,Camille Martin,ligne1,4.80,2,45.20,1.25,cycle,2.46,2.46,4.80,2.44,24.59,4.80,1.97
123,4,Chloe Laurent,ligne5,4.80,2,45.20,11.25,cycle,2.46,2.46,4.80,2.46,24.36,4.80,1.95
124,6,Emma Garnier,ligne7,4.80,2,45.20,16.25,cycle,2.48,2.48,4.80,2.51,23.88,4.80,1.91
126,5,Sarah Petit,ligne6,4.80,2,45.20,13.75,cycle,2.52,2.52,4.80,2.48,24.17,4.80,1.93
177,1,Lea Dubois,ligne2,7.20,3,42.80,3.75,cycle,3.54,3.54,7.20,2.23,26.96,4.80,2.16
180,3,Ines Moreau,ligne4,7.20,3,42.80,8.75,cycle,3.61,3.61,7.20,2.45,24.51,4.80,1.96
180,7,Julie Rousseau,ligne8,7.20,3,42.80,18.75,cycle,3.61,3.61,7.20,2.36,25.48,4.80,2.04
183,2,Manon Bernard,ligne3,7.20,3,42.80,6.25,cycle,3.65,3.65,7.20,2.43,24.70,4.80,1.98
184,0,Camille Martin,ligne1,7.20,3,42.80,1.25,cycle,3.68,3.68,7.20,2.44,24.59,4.80,1.97
185,4,Chloe Laurent,ligne5,7.20,3,42.80,11.25,cycle,3.69,3.69,7.20,2.46,24.41,4.80,1.95
187,5,Sarah Petit,ligne6,7.20,3,42.80,13.75,cycle,3.73,3.73,7.20,2.43,24.71,4.80,1.98
