frameId,swimmerId,eventId,time,distance
0,0,reaction,0.00,0.00
0,1,reaction,0.00,0.00
0,2,reaction,0.00,0.00
0,3,reaction,0.00,0.00
0,4,reaction,0.00,0.00
0,5,reaction,0.00,0.00
0,6,reaction,0.00,0.00
0,7,reaction,0.00,0.00
59,3,cycle,1.17,2.40
61,1,cycle,1.23,2.40
61,2,cycle,1.22,2.40
61,6,cycle,1.22,2.40
62,0,cycle,1.24,2.40
62,4,cycle,1.23,2.40
63,7,cycle,1.27,2.40
64,5,cycle,1.27,2.40
119,3,cycle,2.38,4.80
121,1,cycle,2.43,4.80
121,7,cycle,2.43,4.80
122,2,cycle,2.44,4.80
123,0,cycle,2.46,4.80
123,4,cycle,2.46,4.80
124,6,cycle,2.48,4.80
126,5,cycle,2.52,4.80
177,1,cycle,3.54,7.20
180,3,cycle,3.61,7.20
180,7,cycle,3.61,7.20
183,2,cycle,3.65,7.20
184,0,cycle,3.68,7.20
185,4,cycle,3.69,7.20
187,5,cycle,3.73,7.20
187,6,cycle,3.74,7.20
232,1,cycle,4.64,9.60
242,3,cycle,4.84,9.60
243,2,cycle,4.87,9.60
244,5,cycle,4.88,9.60
245,0,cycle,4.90,9.60
245,4,cycle,4.89,9.60
247,7,cycle,4.94,9.60
250,6,cycle,5.00,9.60
298,1,cycle,5.95,12.00
300,4,cycle,6.00,12.00
300,5,cycle,6.01,12.00
303,3,cycle,6.06,12.00
304,2,cycle,6.08,12.00
306,0,cycle,6.12,12.00
312,6,cycle,6.24,12.00
312,7,cycle,6.24,12.00
351,4,cycle,7.03,14.40
363,3,cycle,7.27,14.40
363,5,cycle,7.26,14.40
365,2,cycle,7.30,14.40
366,0,cycle,7.32,14.40
368,1,cycle,7.37,14.40
372,6,cycle,7.44,14.40
374,7,cycle,7.49,14.40
409,4,cycle,8.18,16.80
422,0,cycle,8.44,16.80
422,3,cycle,8.45,16.80
425,2,cycle,8.50,16.80
428,6,cycle,8.55,16.80
432,1,cycle,8.65,16.80
433,5,cycle,8.65,16.80
436,7,cycle,8.73,16.80
473,0,cycle,9.46,19.20
480,3,cycle,9.60,19.20
483,2,cycle,9.66,19.20
483,4,cycle,9.65,19.20
487,6,cycle,9.73,19.20
494,1,cycle,9.89,19.20
499,5,cycle,9.97,19.20
499,7,cycle,9.97,19.20
524,0,cycle,10.48,21.60
537,2,cycle,10.73,21.60
537,3,cycle,10.73,21.60
553,4,cycle,11.05,21.60
556,1,cycle,11.13,21.60
556,6,cycle,11.12,21.60
561,7,cycle,11.21,21.60
562,5,cycle,11.23,21.60
589,0,cycle,11.78,24.00
589,2,cycle,11.79,24.00
592,3,cycle,11.84,24.00
616,4,cycle,12.31,24.00
618,1,cycle,12.36,24.00
623,7,cycle,12.45,24.00
624,5,cycle,12.48,24.00
624,6,cycle,12.47,24.00
649,3,cycle,12.97,26.40
651,2,cycle,13.02,26.40
666,0,cycle,13.31,26.40
677,4,cycle,13.55,26.40
680,1,cycle,13.60,26.40
685,7,cycle,13.69,26.40
686,5,cycle,13.73,26.40
687,6,cycle,13.74,26.40
706,3,cycle,14.12,28.80
722,2,cycle,14.44,28.80
732,0,cycle,14.64,28.80
739,4,cycle,14.79,28.80
743,1,cycle,14.85,28.80
747,7,cycle,14.94,28.80
750,5,cycle,14.99,28.80
750,6,cycle,15.00,28.80
761,3,cycle,15.23,31.20
787,2,cycle,15.74,31.20
793,0,cycle,15.87,31.20
801,4,cycle,16.03,31.20
805,1,cycle,16.11,31.20
809,7,cycle,16.18,31.20
813,5,cycle,16.27,31.20
813,6,cycle,16.25,31.20
816,3,cycle,16.31,33.60
847,2,cycle,16.95,33.60
854,0,cycle,17.07,33.60
864,4,cycle,17.27,33.60
869,1,cycle,17.37,33.60
869,3,cycle,17.37,36.00
871,7,cycle,17.42,33.60
876,6,cycle,17.52,33.60
878,5,cycle,17.56,33.60
906,2,cycle,18.12,36.00
914,0,cycle,18.28,36.00
921,3,cycle,18.41,38.40
926,4,cycle,18.52,36.00
932,1,cycle,18.65,36.00
933,7,cycle,18.66,36.00
939,6,cycle,18.78,36.00
943,5,cycle,18.87,36.00
965,2,cycle,19.30,38.40
972,3,cycle,19.44,40.80
974,0,cycle,19.48,38.40
989,4,cycle,19.77,38.40
995,7,cycle,19.90,38.40
996,1,cycle,19.93,38.40
1002,6,cycle,20.04,38.40
1009,5,cycle,20.19,38.40
1023,2,cycle,20.46,40.80
1023,3,cycle,20.47,43.20
1034,0,cycle,20.68,40.80
1051,4,cycle,21.03,40.80
1057,7,cycle,21.14,40.80
1060,1,cycle,21.21,40.80
1066,6,cycle,21.31,40.80
1075,3,cycle,21.49,45.60
1075,5,cycle,21.51,40.80
1081,2,cycle,21.63,43.20
1094,0,cycle,21.88,43.20
1114,4,cycle,22.28,43.20
1119,7,cycle,22.38,43.20
1125,1,cycle,22.49,43.20
1127,3,cycle,22.53,48.00
1129,6,cycle,22.58,43.20
1140,2,cycle,22.80,45.60
1142,5,cycle,22.83,43.20
1154,0,cycle,23.08,45.60
1177,4,cycle,23.53,45.60
1181,7,cycle,23.62,45.60
1188,1,cycle,23.77,45.60
1192,6,cycle,23.84,45.60
1199,2,cycle,23.97,48.00
1207,5,cycle,24.14,45.60
1214,0,cycle,24.28,48.00
1231,3,finish,24.62,50.00
1239,4,cycle,24.78,48.00
1243,7,cycle,24.87,48.00
1252,1,cycle,25.04,48.00
1255,6,cycle,25.11,48.00
1265,2,finish,25.30,50.00
1271,0,finish,25.42,50.00
1272,5,cycle,25.44,48.00
1283,4,finish,25.66,50.00
1289,1,finish,25.78,50.00
1293,7,finish,25.86,50.00
1297,5,finish,25.94,50.00
1304,6,finish,26.08,50.00
